"key","file","line","xName","attribute","value","reviewFlag","siblingNames","helpText","ownToolTip"
"Account_UnlinkPatreon_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5679","UnlinkPatreonBtn","ToolTip","Remove the link between your TF4ALL account and your Patreon account.","","LinkPatreonBtn PatreonLinkStatusText","",""
"Account_PatreonLinkStatus","src/TrueforceForAll.Plugin/SettingsControl.xaml","5682","PatreonLinkStatusText","Text","Sign in to link Patreon.","code-assigned: PatreonLinkStatusText.Text","LinkPatreonBtn UnlinkPatreonBtn","",""
"Account_AccountDetails_Header","src/TrueforceForAll.Plugin/SettingsControl.xaml","5687","AccountDetailsExpander","Header","Account Settings","","SupporterBadge AccountUsernameHelp AccountChangeEmailRow AccountChangeEmailStatus DiscordLinkRow PatreonLinkRow","",""
"Account_AccountDetailsYourStats","src/TrueforceForAll.Plugin/SettingsControl.xaml","5691","AccountDetailsExpander/StackPanel[1]/TextBlock[1]","Text","Your stats","","AccountStatsBox AccountSessionsBox AccountDangerZone AccountExportStatus","",""
"Account_AccountSessionsActiveSessions","src/TrueforceForAll.Plugin/SettingsControl.xaml","5709","AccountSessionsBox/StackPanel[1]/Grid[1]/TextBlock[1]","Text","Active sessions","","AccountSessionsRefreshBtn","",""
"Common_Refresh","src/TrueforceForAll.Plugin/SettingsControl.xaml","5710","AccountSessionsRefreshBtn","Content","Refresh","","","","Re-check which devices are signed in to your account."
"Account_AccountSessionsRefresh_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5713","AccountSessionsRefreshBtn","ToolTip","Re-check which devices are signed in to your account.","","","",""
"Account_AccountSignOutOthers","src/TrueforceForAll.Plugin/SettingsControl.xaml","5718","AccountSignOutOthersBtn","Content","Sign out everywhere else","code-assigned: AccountSignOutOthersBtn.Content","AccountSessionsStatus AccountSessionsList","","Revoke every other device's session. This device stays signed in."
"Account_AccountSignOutOthers_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5722","AccountSignOutOthersBtn","ToolTip","Revoke every other device's session. This device stays signed in.","","AccountSessionsStatus AccountSessionsList","",""
"Account_AccountSessionsRevokingSignsTheOther","src/TrueforceForAll.Plugin/SettingsControl.xaml","5724","AccountSessionsBox/StackPanel[1]/TextBlock[2]","Text","Revoking signs the other device out within a few minutes while it's running. A device that's offline or asleep signs out the next time it comes online.","","AccountSessionsStatus AccountSessionsList AccountSignOutOthersBtn","",""
"Account_AccountExport","src/TrueforceForAll.Plugin/SettingsControl.xaml","5731","AccountExportBtn","Content","Export my data","","AccountDeleteBtn","","Save a JSON file with the data your account holds: email, profile, uploads, votes, car-fact submissions, download history, sign-in sessions, linked accounts, supporter status, reports you have filed, and any moderation notices."
"Account_AccountExport_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5734","AccountExportBtn","ToolTip","Save a JSON file with the data your account holds: email, profile, uploads, votes, car-fact submissions, download history, sign-in sessions, linked accounts, supporter status, reports you have filed, and any moderation notices.","","AccountDeleteBtn","",""
"Account_AccountDelete","src/TrueforceForAll.Plugin/SettingsControl.xaml","5735","AccountDeleteBtn","Content","Delete account","code-assigned: AccountDeleteBtn.Content","AccountExportBtn","","Permanently remove your account. Presets you uploaded stay available for people who downloaded them but lose your name. Your cloud backup is deleted too."
"Account_AccountDelete_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5739","AccountDeleteBtn","ToolTip","Permanently remove your account. Presets you uploaded stay available for people who downloaded them but lose your name. Your cloud backup is deleted too.","","AccountExportBtn","",""
"Account_AccountDetailsOpensPrivacyMdOn_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5744","AccountDetailsExpander/StackPanel[1]/TextBlock[3]/Hyperlink[1]","ToolTip","Opens PRIVACY.md on GitHub.","","","",""
"Account_AccountDetailsPrivacyPolicy","src/TrueforceForAll.Plugin/SettingsControl.xaml","5744","AccountDetailsExpander/StackPanel[1]/TextBlock[3]/Hyperlink[1]","#text","Privacy policy","","","","Opens PRIVACY.md on GitHub."
"Account_AccountDetailsWhatSStoredWhyAnd","src/TrueforceForAll.Plugin/SettingsControl.xaml","5744","AccountDetailsExpander/StackPanel[1]/TextBlock[3]/Run[1]","Text",": what's stored, why, and how to remove it.","","","",""
